"","x"
"1","United States"
"2","Alabama"
"3","Alaska"
"4","Arizona"
"5","Arkansas"
"6","California"
"7","Colorado"
"8","Connecticut"
"9","Delaware"
"10","District of Columbia"
"11","Florida"
"12","Georgia"
"13","Hawaii"
"14","Idaho"
"15","Illinois"
"16","Indiana"
"17","Iowa"
"18","Kansas"
"19","Kentucky"
"20","Louisiana"
"21","Maine"
"22","Maryland"
"23","Massachusetts"
"24","Michigan"
"25","Minnesota"
"26","Mississippi"
"27","Missouri"
"28","Montana"
"29","Nebraska"
"30","Nevada"
"31","New Hampshire"
"32","New Jersey"
"33","New Mexico"
"34","New York"
"35","North Carolina"
"36","North Dakota"
"37","Ohio"
"38","Oklahoma"
"39","Oregon"
"40","Pennsylvania"
"41","Rhode Island"
"42","South Carolina"
"43","South Dakota"
"44","Tennessee"
"45","Texas"
"46","Utah"
"47","Vermont"
"48","Virginia"
"49","Washington"
"50","West Virginia"
"51","Wisconsin"
"52","Wyoming"
"53","Puerto Rico"
"54","Autauga County, Alabama"
"55","Baldwin County, Alabama"
"56","Barbour County, Alabama"
"57","Bibb County, Alabama"
"58","Blount County, Alabama"
"59","Bullock County, Alabama"
"60","Butler County, Alabama"
"61","Calhoun County, Alabama"
"62","Chambers County, Alabama"
"63","Cherokee County, Alabama"
"64","Chilton County, Alabama"
"65","Choctaw County, Alabama"
"66","Clarke County, Alabama"
"67","Clay County, Alabama"
"68","Cleburne County, Alabama"
"69","Coffee County, Alabama"
"70","Colbert County, Alabama"
"71","Conecuh County, Alabama"
"72","Coosa County, Alabama"
"73","Covington County, Alabama"
"74","Crenshaw County, Alabama"
"75","Cullman County, Alabama"
"76","Dale County, Alabama"
"77","Dallas County, Alabama"
"78","DeKalb County, Alabama"
"79","Elmore County, Alabama"
"80","Escambia County, Alabama"
"81","Etowah County, Alabama"
"82","Fayette County, Alabama"
"83","Franklin County, Alabama"
"84","Geneva County, Alabama"
"85","Greene County, Alabama"
"86","Hale County, Alabama"
"87","Henry County, Alabama"
"88","Houston County, Alabama"
"89","Jackson County, Alabama"
"90","Jefferson County, Alabama"
"91","Lamar County, Alabama"
"92","Lauderdale County, Alabama"
"93","Lawrence County, Alabama"
"94","Lee County, Alabama"
"95","Limestone County, Alabama"
"96","Lowndes County, Alabama"
"97","Macon County, Alabama"
"98","Madison County, Alabama"
"99","Marengo County, Alabama"
"100","Marion County, Alabama"
"101","Marshall County, Alabama"
"102","Mobile County, Alabama"
"103","Monroe County, Alabama"
"104","Montgomery County, Alabama"
"105","Morgan County, Alabama"
"106","Perry County, Alabama"
"107","Pickens County, Alabama"
"108","Pike County, Alabama"
"109","Randolph County, Alabama"
"110","Russell County, Alabama"
"111","St. Clair County, Alabama"
"112","Shelby County, Alabama"
"113","Sumter County, Alabama"
"114","Talladega County, Alabama"
"115","Tallapoosa County, Alabama"
"116","Tuscaloosa County, Alabama"
"117","Walker County, Alabama"
"118","Washington County, Alabama"
"119","Wilcox County, Alabama"
"120","Winston County, Alabama"
"121","Aleutians East Borough, Alaska"
"122","Aleutians West Census Area, Alaska"
"123","Anchorage Municipality, Alaska"
"124","Bethel Census Area, Alaska"
"125","Bristol Bay Borough, Alaska"
"126","Chugach Census Area, Alaska"
"127","Copper River Census Area, Alaska"
"128","Denali Borough, Alaska"
"129","Dillingham Census Area, Alaska"
"130","Fairbanks North Star Borough, Alaska"
"131","Haines Borough, Alaska"
"132","Hoonah-Angoon Census Area, Alaska"
"133","Juneau City and Borough, Alaska"
"134","Kenai Peninsula Borough, Alaska"
"135","Ketchikan Gateway Borough, Alaska"
"136","Kodiak Island Borough, Alaska"
"137","Kusilvak Census Area, Alaska"
"138","Lake and Peninsula Borough, Alaska"
"139","Matanuska-Susitna Borough, Alaska"
"140","Nome Census Area, Alaska"
"141","North Slope Borough, Alaska"
"142","Northwest Arctic Borough, Alaska"
"143","Petersburg Borough, Alaska"
"144","Prince of Wales-Hyder Census Area, Alaska"
"145","Sitka City and Borough, Alaska"
"146","Skagway Municipality, Alaska"
"147","Southeast Fairbanks Census Area, Alaska"
"148","Wrangell City and Borough, Alaska"
"149","Yakutat City and Borough, Alaska"
"150","Yukon-Koyukuk Census Area, Alaska"
"151","Apache County, Arizona"
"152","Cochise County, Arizona"
"153","Coconino County, Arizona"
"154","Gila County, Arizona"
"155","Graham County, Arizona"
